,question,answer,a,b,c
728,"There are 2 people on a boat in the middle of a big lake. The boat begins to sink, but there is only one life jacket. Who will survive?",Neither. Both will die.,The person who can swim the fastest,The person who can hold their breath the longest,The person who can find a floating object to hold onto
729,"There are a number of books on a shelf. If one book is the 4th from the left and 6th from the right, how many books are on the shelf?",There are 9 books on the shelf.,There are 10 books on the shelf.,There are 8 books on the shelf.,There are 7 books on the shelf.
730,"There are five houses in a row. Each house is painted a different color and has a person of a different nationality living in it. Each person drinks a different beverage, smokes a different type of cigar, and owns a different animal as a pet. Using these 15 clues, which person owns the pet fish?The Brit lives in the red house.The Swede has a pet dog.The Dane drinks tea.The green house is directly to the left of the white house.The person in the green house drinks coffee.The person who smokes Pall Mall has a pet bird.The person in the yellow house smokes Dunhill cigars.The person in the center house drinks milk.The Norwegian lives in the first house.The person who smokes Blends lives next to the person with the pet cat.The person with the pet horse lives next to the one who smokes Dunhill.The person who smokes BlueMaster drinks beer.The German smokes Prince.The Norwegian lives next to the blue house.The person who smokes Blends has a neighbor who drinks water.",The German is the pet fish owner.,The Brit is the pet fish owner,The Swede is the pet fish owner,The Dane is the pet fish owner
731,"There are two people in front of you holding guns.One is your best friend and the other is an impostor who looks just like him and knows all that he knows.You also have a gun and must shoot the impostor, if you get it wrong, the impostor will shoot you. If you get it right you and your friend are safe.What is the one question you can ask that will reveal the impostor?",Ask them to drop the gun. The impostor will not do so.,Ask them to recite a childhood memory. The impostor may struggle to recall specific details or may not have the same emotional connection to the memory as your best friend.,Ask them about a secret only your best friend would know. The impostor may not be aware of this secret or may give an incorrect answer.,Ask them to show you a unique identifying mark or tattoo. The impostor may not have the same mark or tattoo as your best friend.
732,"There are two people in front of you holding guns.One is your best friend and the other is an impostor who looks just like him and knows all that he knows.You also have a gun and must shoot the impostor, if you get it wrong, the impostor will shoot you. If you get it right you and your friend are safe.What is the one question you can ask that will reveal the impostor?",Ask them to drop the gun. The impostor will not do so.,Ask them to recite a childhood memory. The impostor may struggle to recall specific details or may not have the same emotional connection to the memory as your best friend.,Ask them about a secret only your best friend would know. The impostor may not be aware of this secret and will not be able to provide a convincing answer.,Ask them to show you a unique identifying mark or tattoo. The impostor may not have the same mark or tattoo as your best friend.
733,"There are two people in front of you holding guns.One is your best friend and the other is an impostor who looks just like him and knows all that he knows.You also have a gun and must shoot the impostor, if you get it wrong, the impostor will shoot you. If you get it right you and your friend are safe.What is the one question you can ask that will reveal the impostor?",Ask them to drop the gun. The impostor will not do so.,Ask them to recite a childhood memory. The impostor may struggle to recall specific details or may not have the same emotional connection to the memory.,Ask them about a secret only your best friend would know. The impostor may not have access to this information.,Ask them to show you a scar or birthmark that only your best friend has. The impostor may not have the same physical features.
734,There are two planes. One is going from Los Angeles to Japan at a speed of 600 MPH. The other is traveling from Japan to Los Angeles at a speed of 500 MPH.When the planes meet which one will be closer to Japan?,Trick question  - They will be the same distance away when they meet.,The plane going from Los Angeles to Japan will be closer to Japan.,The plane going from Japan to Los Angeles will be closer to Japan.,It is impossible to determine which plane will be closer to Japan.
735,There is a 5 gallon and a 3 gallon bottle. You also have a hose with unlimited water. How are you gonna make the 5 gallon have 4 gallons using your items? (You don't know the exact dimensions of a gallon),You fill the five gallon up and pour it into the 3 gallon. The dump the 3 gallon out and pour what was left in the 5 gallon into the 3 gallon so that you have 2 gallons in the 3 gallon. Then fill the 5 gallon up and pour it into the 3 gallon to fill it up. Now you have 4 gallons in the 5 gallons.,You fill the 3 gallon up and pour it into the 5 gallon. Then fill the 3 gallon up again and pour it into the 5 gallon. Now you have 6 gallons in the 5 gallon.,You fill the 5 gallon up and pour it into the 3 gallon. Then fill the 5 gallon up again and pour it into the 3 gallon. Now you have 8 gallons in the 3 gallon.,You fill the 3 gallon up and pour it into the 5 gallon. Then fill the 5 gallon up and pour it into the 3 gallon. Now you have 8 gallons in the 5 gallon.
736,There is a 5 gallon and a 3 gallon bottle. You also have a hose with unlimited water. How are you gonna make the 5 gallon have 4 gallons using your items? (You don't know the exact dimensions of a gallon),You fill the five gallon up and pour it into the 3 gallon. The dump the 3 gallon out and pour what was left in the 5 gallon into the 3 gallon so that you have 2 gallons in the 3 gallon. Then fill the 5 gallon up and pour it into the 3 gallon to fill it up. Now you have 4 gallons in the 5 gallons.,You fill the 3 gallon up and pour it into the 5 gallon. Then fill the 3 gallon up again and pour it into the 5 gallon. Now you have 6 gallons in the 5 gallon.,You fill the 5 gallon up and pour it into the 3 gallon. Then fill the 5 gallon up again and pour it into the 3 gallon. Now you have 8 gallons in the 3 gallon.,You fill the 3 gallon up and pour it into the 5 gallon. Then fill the 5 gallon up again and pour it into the 3 gallon. Now you have 7 gallons in the 3 gallon.
737,There is a 5 gallon and a 3 gallon bottle. You also have a hose with unlimited water. How are you gonna make the 5 gallon have 4 gallons using your items? (You don't know the exact dimensions of a gallon),You fill the five gallon up and pour it into the 3 gallon. The dump the 3 gallon out and pour what was left in the 5 gallon into the 3 gallon so that you have 2 gallons in the 3 gallon. Then fill the 5 gallon up and pour it into the 3 gallon to fill it up. Now you have 4 gallons in the 5 gallons.,You fill the 3 gallon up and pour it into the 5 gallon. Then fill the 3 gallon up again and pour it into the 5 gallon. Now you have 6 gallons in the 5 gallon.,You fill the 5 gallon up and pour it into the 3 gallon. Then fill the 5 gallon up again and pour it into the 3 gallon. Now you have 8 gallons in the 3 gallon.,You fill the 3 gallon up and pour it into the 5 gallon. Then fill the 5 gallon up again and pour it into the 3 gallon. Now you have 7 gallons in the 5 gallon.
