questions,answers,Gpt
"Hick-a-more, Hack-a-more, On the kitchen floor;All the horses, all the men,Couldn't driveHick-a-more, Hack-a-more,Off the kitchen floor.",Sunshine.,"option : Moonlight, option : Raindrop, option : Starlight"
What falls on the water but never gets wet?,A shadow.,"option : A raindrop, option : A leaf, option : A feather"
"What has no hands, no feet, no head, and no body, but can open any door?",The wind.,"option : A key, option : A lock, option : A doorknob"
"When rain falls, does it ever get up again?","Yes, in dew time.","option : ""No, rain never gets up again."", option : ""Yes, rain evaporates and becomes part of the water cycle."", option : ""No, rain gets absorbed by the ground."""
"White sheep on a blue hill.When the winds stop, they stand still.They walk far away when the winds blow.What are they?",The clouds.,"option : The trees, option : The birds, option : The mountains"
"I gently patter on the roof at night. I mutter quietly and lull you to sleep, asking, ""All sleeping? All right!""What am I?",Rain.,"option : Wind, option : Thunder, option : Snow"
"An old woman sweeps behind the house, but the dust turns up at your doorstep.What is it?",A blizzard.,"option : A broom, option : A vacuum cleaner, option : A gust of wind"
"Riddle me, riddle me, rin-Ðµ-go, mother gave me some seeds to sow. The seeds were black, the ground was white. If you riddle me that, you'll escape my bite.What are they?",Pen and paper.,"option : Pencil and notebook, option : Typewriter and parchment, option : Keyboard and screen"
"It is energy and motion, it can fly across the ocean.It can listen and even speak, it can see and even seek.It eats neither fruit nor gruel, it eats energy and fuel.Better say: It doesn't eat; It is transformed into heat.What is it?",Electricity.,"option : Lightning, option : Power, option : Current"
"The shape of my form will waver and bendBy the things I'm destroying and those I will rend.My color changes from bright red to blue,The power I'm using will dictate my hue.What am I?",A flame.,"option : A candle, option : A torch, option : A bonfire"
"A house full, a hole full, but you can never gather a bowl full.What is it?",Smoke or fog.,"option : Water, option : Sand, option : Air"
"I'm so weak that a little wind can move me.I'm so strong that when you cut me with a knife, it leaves no track.What is it?",Water.,"option : Air, option : Feather, option : Smoke"
"What is it that anyone can divide, but no one can see where it is divided?",Water.,"option : Air, option : Time, option : Light"
"As I was going o'er London Bridge, I heard something crack. Not a man in all England can mend that!What is it?",Ice.,"option : Glass, option : Mirror, option : Bone"
"My step is slow, and I breathe snow.To the ground, I bring death.My marching brings an end to me,I'm slain by the sun or engulfed by the sea.What am I?",A glacier.,"option : Avalanche, option : Iceberg, option : Frostbite"
"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.,"option : A hallucination, option : An illusion, option : A phantasm"
"If you like being in nature and want to camp overnight, you can sleep in one of these.What is it?",A tent.,"option : Sleeping bag, option : Hammock, option : Cabin"
"There is a common plantThat's like something in the sky.It is bright yellow,And grows to be 10 feet high.What is it?",A sunflower.,"option : A dandelion, option : A marigold, option : A daisy"
"I bloom in yellow-golden,With fluffy little chicks.From the cold, I turn barren.What am I?",Mimosa.,"option : Daffodil, option : Sunflower, option : Tulip"
"Colorful flowersBloomed in the garden,Beautiful colorsBut autumn is coming.What flowers are they?",Astra.,"option : Rose, option : Tulip, option : Sunflower"
What tree grieves the most?,The weeping willow.,"option : The sad oak, option : The mourning maple, option : The sorrowful pine"
What animal can jump higher than a tree?,All of them! Trees can't jump.,"option : Giraffe, option : Kangaroo, option : Squirrel"
"A house with two residents - sometimes one, seldom three.Crack the walls, eat the dwellers, then throw it away.What is it?",A pod with peanuts.,"option 1: A nutcracker
option 2: A termite infestation
option 3: A demolition crew"
I have lots of bark but no bite. What am I?,A tree.,"option : A dog, option : A fence, option : A squirrel"
"I am a plant you use in food, and my name consists of 5 letters.Remove the first letter of my name, and you'll get a form of energy.Get rid of two, and you'll get something necessary for life.Scramble together the last 3 letters, and you can drink it.What am I?",Wheat.,"option : Rice, option : Corn, option : Barley"
"I am a small seed, and there are three letters in my name.Take away two letters, and I still sound the same.What am I?",A pea.,"option : A bee, option : A key, option : A tea"
"The moon is my mother, The sea is my dad.I have a million brothers.When I reach land, I'm dead.What am I?",A wave.,"option : A cloud, option : A fish, option : A boat"
"There's a bridge in a hollowAnd a hundred cross itNo mason, no blacksmith, nor carpenter built it.What is it?",A frozen river.,"option : A stone path, option : A rope bridge, option : A wooden plank"
"You will find me in the mountains, and you'll find me in a creek.I have no mouth, but I speak every tongue.I have no ears, yet I answer every cry, and I always have the final word.What am I?",An echo.,"option : A waterfall, option : A cave, option : A wind"
